,Datum,Bar
121,2016-08-04 00:47:36.432814,96620.5
122,2016-08-04 00:47:36.468817,96598.75
123,2016-08-04 00:47:36.504815,96610.5
124,2016-08-04 00:47:36.540814,96606.25
125,2016-08-04 00:47:36.576814,96592.5
126,2016-08-04 00:47:36.612820,96596.5
127,2016-08-04 00:47:36.648804,96590.75
128,2016-08-04 00:47:36.684820,96608.75
129,2016-08-04 00:47:36.720828,96570.5
130,2016-08-04 00:47:36.756812,96578.0
131,2016-08-04 00:47:36.792811,96578.75
132,2016-08-04 00:47:36.828810,96600.0
133,2016-08-04 00:47:36.864818,96592.0
134,2016-08-04 00:47:36.900816,96622.0
135,2016-08-04 00:47:36.936817,96612.0
136,2016-08-04 00:47:36.972831,96572.25
137,2016-08-04 00:47:37.008813,96560.0
138,2016-08-04 00:47:37.044761,96568.5
139,2016-08-04 00:47:37.080791,96572.75
140,2016-08-04 00:47:37.116783,96600.5
141,2016-08-04 00:47:37.152782,96578.75
142,2016-08-04 00:47:37.188783,96588.75
143,2016-08-04 00:47:37.224803,96618.0
144,2016-08-04 00:47:37.260784,96578.0
145,2016-08-04 00:47:37.296804,96608.25
146,2016-08-04 00:47:37.332799,96596.5
147,2016-08-04 00:47:37.368800,96592.25
148,2016-08-04 00:47:37.404803,96614.5
149,2016-08-04 00:47:37.440806,96564.5
150,2016-08-04 00:47:37.476815,96574.5
151,2016-08-04 00:47:37.512799,96576.75
152,2016-08-04 00:47:37.548800,96572.0
153,2016-08-04 00:47:37.584802,96550.75
154,2016-08-04 00:47:37.620803,96628.0
155,2016-08-04 00:47:37.656800,96612.75
156,2016-08-04 00:47:37.692800,96626.5
157,2016-08-04 00:47:37.728798,96600.5
158,2016-08-04 00:47:37.764796,96580.5
159,2016-08-04 00:47:37.800801,96556.5
160,2016-08-04 00:47:37.836796,96604.25
161,2016-08-04 00:47:37.872795,96544.5
162,2016-08-04 00:47:37.908795,96610.0
163,2016-08-04 00:47:37.944800,96594.75
164,2016-08-04 00:47:37.980798,96590.5
165,2016-08-04 00:47:38.016796,96578.75
166,2016-08-04 00:47:38.052796,96614.0
167,2016-08-04 00:47:38.088798,96594.5
168,2016-08-04 00:47:38.124796,96616.75
169,2016-08-04 00:47:38.160793,96592.25
170,2016-08-04 00:47:38.196794,96650.0
171,2016-08-04 00:47:38.232793,96582.0
